Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,RBE
V79,n,G0,5.6,4He,2,s,2.34,133.4,1.0118
V79,n,G0,5.6,4He,2,s,2.4,128.8,0.9282
V79,n,G0,5.6,4He,2,s,7.85,28.1,1.1522
V79,n,G0,5.6,4He,2,s,8.13,26.9,1.1556
V79,n,G0,5.6,4He,2,s,9.12,23.4,1.1708
V79,n,G0,5.6,12C,6,s,12.16,319.0,1.2027
V79,n,G0,5.6,12C,6,s,26.0,99.8,1.3468
V79,n,G0,5.6,12C,6,s,74.99,26.1,1.9428
V79,n,G0,5.6,20Ne,10,s,37.15,268.7,1.4916
V79,n,G0,5.6,20Ne,10,s,114.81,55.0,2.0021
V79,n,G0,5.6,20Ne,10,s,136.46,44.4,2.1835
V79,n,G0,5.6,40Ar,18,s,98.86,400.0,2.0757
V79,n,G0,5.6,40Ar,18,s,402.72,50.0,2.0051
V79,n,G0,5.6,12C,6,s,12.16,319.0,1.3936
V79,n,G0,5.6,12C,6,s,26.0,99.8,1.4886
V79,n,G0,5.6,12C,6,s,74.99,26.1,2.2838
T1,n,a,6.0,12C,6,s,12.16,319.0,1.4733
T1,n,a,6.0,12C,6,s,26.0,99.8,1.5413
T1,n,a,6.0,12C,6,s,74.99,26.1,2.2198
T1,n,a,5.6,12C,6,m,11.0,389.0,1.1023
T1,n,a,5.6,12C,6,m,13.0,282.9,1.22
T1,n,a,5.6,12C,6,m,16.0,200.4,1.1308
T1,n,a,5.6,12C,6,m,23.0,118.2,1.4319
T1,n,a,5.6,12C,6,m,30.0,82.7,1.4405
T1,n,a,5.6,12C,6,m,40.0,57.3,1.7912
T1,n,a,5.6,12C,6,m,85.0,22.5,2.5428
T1,n,a,5.6,12C,6,m,124.0,14.0,2.5987
T1,n,a,5.6,20Ne,10,m,32.0,356.0,1.4913
T1,n,a,5.6,20Ne,10,m,38.0,258.7,1.5442
T1,n,a,5.6,20Ne,10,m,54.0,149.7,1.6503
T1,n,a,5.6,20Ne,10,m,71.0,102.5,1.9875
T1,n,a,5.6,20Ne,10,m,100.0,65.5,2.8168
T1,n,a,5.6,20Ne,10,m,139.0,43.4,2.8653
T1,n,a,5.6,20Ne,10,m,234.0,22.7,2.7113
T1,n,a,5.6,20Ne,10,m,419.0,10.7,2.6133
