ID,Paper,No,Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,alpha_x,beta_x,alpha_l,beta_l
1,chapman77,1,V79,n,G0,5.6,4He,2,s,2.34,133.4,0.08,0.0361,0.06,0.04
1,chapman77,2,V79,n,G0,5.6,4He,2,s,2.4,128.8,0.08,0.0361,0.09,0.029
1,chapman77,3,V79,n,G0,5.6,4He,2,s,7.85,28.1,0.08,0.0361,0.14,0.04
1,chapman77,4,V79,n,G0,5.6,4He,2,s,8.13,26.9,0.08,0.0361,0.19,0.032
1,chapman77,5,V79,n,G0,5.6,4He,2,s,9.12,23.4,0.08,0.0361,0.15,0.04
1,chapman77,6,V79,n,G0,5.6,12C,6,s,12.16,319,0.08,0.0361,0.19,0.036
1,chapman77,7,V79,n,G0,5.6,12C,6,s,26,99.8,0.08,0.0361,0.26,0.036
1,chapman77,8,V79,n,G0,5.6,12C,6,s,74.99,26.1,0.08,0.0361,0.5,0.04
1,chapman77,9,V79,n,G0,5.6,20Ne,10,s,37.15,268.7,0.08,0.0361,0.27,0.048
1,chapman77,10,V79,n,G0,5.6,20Ne,10,s,114.81,55,0.08,0.0361,0.51,0.044
1,chapman77,11,V79,n,G0,5.6,20Ne,10,s,136.46,44.4,0.08,0.0361,0.57,0.048
1,chapman77,12,V79,n,G0,5.6,40Ar,18,s,98.86,400,0.08,0.0361,0.58,0.032
1,chapman77,13,V79,n,G0,5.6,40Ar,18,s,402.72,50,0.08,0.0361,0.48,0.053
2,chapman78,1,V79,n,G0,5.6,12C,6,s,12.16,319,0.078,0.0359,0.28,0.0356
2,chapman78,2,V79,n,G0,5.6,12C,6,s,26,99.8,0.078,0.0359,0.333,0.0334
2,chapman78,3,V79,n,G0,5.6,12C,6,s,74.99,26.1,0.078,0.0359,0.669,0.027
2,chapman78,4,V79,n,G1,5.6,12C,6,s,12.16,319,0.144,0.0417,0.42,0.0501
2,chapman78,5,V79,n,G1,5.6,12C,6,s,26,99.8,0.144,0.0417,0.591,0.034
2,chapman78,6,V79,n,G1,5.6,12C,6,s,74.99,26.1,0.144,0.0417,1.002,0.0269
2,chapman78,7,T1,n,a,6,12C,6,s,12.16,319,0.144,0.0379,0.323,0.0556
2,chapman78,8,T1,n,a,6,12C,6,s,26,99.8,0.144,0.0379,0.352,0.0573
2,chapman78,9,T1,n,a,6,12C,6,s,74.99,26.1,0.144,0.0379,0.653,0.0659
3,blakely79,1,T1,n,a,5.6,12C,6,m,11,389,0.1,0.047,0.28,0.026
3,blakely79,2,T1,n,a,5.6,12C,6,m,13,282.9,0.1,0.047,0.25,0.044
3,blakely79,3,T1,n,a,5.6,12C,6,m,16,200.4,0.1,0.047,0.22,0.04
3,blakely79,4,T1,n,a,5.6,12C,6,m,23,118.2,0.1,0.047,0.38,0.04
3,blakely79,5,T1,n,a,5.6,12C,6,m,30,82.7,0.1,0.047,0.33,0.053
3,blakely79,6,T1,n,a,5.6,12C,6,m,40,57.3,0.1,0.047,0.39,0.088
3,blakely79,7,T1,n,a,5.6,12C,6,m,85,22.5,0.1,0.047,0.81,0.069
3,blakely79,8,T1,n,a,5.6,12C,6,m,124,14,0.1,0.047,0.74,0.11
3,blakely79,9,T1,n,a,5.6,20Ne,10,m,32,356,0.1,0.047,0.24,0.082
